linesize, bestvalue
2174.098389, 0.565524
2139.032227, 0.585644
2105.079346, 0.606251
2072.187500, 0.626003
2040.307739, 0.629720
2009.393921, 0.634279
1979.402954, 0.635288
1950.294067, 0.619552
1922.028931, 0.621419
1894.571411, 0.641150
1867.887329, 0.647433
1841.944458, 0.649594
1816.712280, 0.647648
1792.162109, 0.646968
1768.266724, 0.643036
1745.000000, 0.642651
1722.337646, 0.642129
1700.256470, 0.638930
1678.734131, 0.641004
1657.750000, 0.646095
1637.283936, 0.646990
1617.317017, 0.634427
1597.831299, 0.642441
1578.809570, 0.648995
1560.235352, 0.651336
1542.093018, 0.645268
1524.367798, 0.640942
1507.045410, 0.633334
1490.112305, 0.620915
1473.555542, 0.598483
1457.362671, 0.586834
1441.521729, 0.595703
1426.021484, 0.612309
1410.851074, 0.638128
1396.000000, 0.646359
1381.458374, 0.637460
1367.216553, 0.652910
1353.265259, 0.654360
1339.595947, 0.658863
1326.199951, 0.658583
1313.069336, 0.655010
1300.196045, 0.653633
1287.572876, 0.646479
1275.192261, 0.648103
1263.047607, 0.650305
1251.132080, 0.649742
1239.439209, 0.644859
1227.963013, 0.642394
1216.697266, 0.636803
1205.636353, 0.636393
1194.774780, 0.654714
1184.107178, 0.655092
1173.628296, 0.656462
1163.333374, 0.651898
1153.217407, 0.653238
1143.275879, 0.647684
1133.504272, 0.640982
1123.898315, 0.637094
1114.453735, 0.628951
1105.166626, 0.619094
1096.033081, 0.596653
1087.049194, 0.589915
1078.211426, 0.582474
1069.516113, 0.609853
1060.959961, 0.634872
1052.539673, 0.643606
1044.251953, 0.647522
1036.093750, 0.644707
1028.062012, 0.648159
1020.153870, 0.649168
1012.366394, 0.648026
1004.696960, 0.644897
997.142883, 0.641550
989.701477, 0.647537
982.370361, 0.648036
975.147034, 0.639994
968.029175, 0.622181
961.014465, 0.633053
954.100708, 0.642753
947.285706, 0.641140
940.567383, 0.641114
933.943665, 0.639274
927.412598, 0.641578
920.972229, 0.640678
914.620667, 0.634059
908.356140, 0.626529
902.176880, 0.623878
896.081055, 0.626603
890.067139, 0.620707
884.133362, 0.603366
878.278137, 0.575787
872.500000, 0.579965
866.797363, 0.591873
861.168823, 0.612826
855.612915, 0.626493
850.128235, 0.630075
844.713379, 0.630511
839.367065, 0.634926
834.088074, 0.640351
828.875000, 0.641362
823.726685, 0.636259
818.641968, 0.633362
813.619629, 0.627183
808.658508, 0.612485
803.757568, 0.587583
798.915649, 0.601661
794.131714, 0.606405
789.404785, 0.605046
784.733704, 0.616273
780.117676, 0.619713
775.555542, 0.619857
771.046509, 0.620390
766.589600, 0.621938
762.183899, 0.621685
757.828552, 0.612671
753.522705, 0.604589
749.265564, 0.593734
745.056152, 0.582334
740.893860, 0.593357
736.777771, 0.596481
732.707153, 0.582590
728.681335, 0.562571
724.699463, 0.561494
720.760864, 0.573890
716.864868, 0.576459
713.010742, 0.578167
709.197876, 0.589658
705.425537, 0.589968
701.693115, 0.590392
698.000000, 0.581238
694.345520, 0.548186
690.729187, 0.552401
687.150269, 0.565810
683.608276, 0.586106
680.102539, 0.590807
676.632629, 0.583027
673.197998, 0.582889
669.797974, 0.580829
666.432190, 0.579892
663.099976, 0.576498
659.801025, 0.576215
656.534668, 0.584839
653.300476, 0.577941
650.098022, 0.575594
646.926819, 0.560519
643.786438, 0.539487
640.676331, 0.549485
637.596130, 0.540158
634.545471, 0.513994
631.523804, 0.501518
628.530823, 0.401387
625.566040, 0.453915
622.629089, 0.485326
619.719604, 0.513614
616.837219, 0.549747
613.981506, 0.565616
611.152100, 0.576085
608.348633, 0.579796
605.570801, 0.564317
602.818176, 0.572002
600.090515, 0.585087
597.387390, 0.587996
594.708496, 0.588675
592.053589, 0.587544
589.422241, 0.591482
586.814148, 0.587236
584.229065, 0.589099
581.666687, 0.587402
579.126648, 0.573015
576.608704, 0.572582
574.112549, 0.552906
571.637939, 0.562353
569.184570, 0.567211
566.752136, 0.576870
564.340454, 0.582910
561.949158, 0.566974
559.578064, 0.558826
557.226868, 0.579968
554.895386, 0.587361
552.583313, 0.589559
550.290466, 0.585250
548.016541, 0.578293
545.761292, 0.574221
543.524597, 0.581551
541.306152, 0.591980
